Samp_no,Date,Species,Month,Colony,Fv.Fm,Ik,rETRmax,Alpha,SA_cm2,Cells.cm2,Chl_pg.cell,Host_Proteins_mg.cm2,Host_Carbs_mg.cm2,Lipids_Host.mg.cm2.,Host_Stored_energy_J.cm2,Carbs_sym.pg.cell.,Proteins_sym.pg.cell.,Lipids_sym.pg.cell.,Sym_Stored_energy_uJ.cell
72,08/10/2021,Stylophora,October,S8,,8.812815126,41.949,4.76,7.753,2901229,1.35,1.36,0.14,0,35,19.42,47.05,20.954,2.29
73,03/11/2021,Stylophora,November,S1,,7.345050761,28.9395,3.94,10.235,2853483,1.99,1.06, ,0.29, ,20.08,41.28,14.982,1.93
74,03/11/2021,Stylophora,November,S9,,,22.848,3.58,3.892,3478566,1.71,1,0.16,0.6,50,16.11,29.268,32.098,2.25
75,03/11/2021,Stylophora,November,S3,,10.29742991,44.073,4.28,2.789,4900431,1.59,1.35,0.4, , ,22.94,25.621,7.486,1.31
76,03/11/2021,Stylophora,November,S4,,8.847058824,31.584,3.57,2.789,5849856,1.43,1.67,0.34,0.95,83,14.39,22.406,18.064,1.5
77,03/11/2021,Stylophora,November,S5,,9.36287062,41.6835,4.452,2.789,6247916,1.12,1.26,0.2,0.75,63,15.98,24.052,0.634,0.88
78,03/11/2021,Stylophora,November,S6,,8.101775148,27.384,3.38,3.064,3639470,1.2,1.09,0.15,0.67,55,23.66,26.983,26.772,2.12
79,03/11/2021,Stylophora,November,S7,,,54.4275,4.65,3.892,3923745,1.53,1.18,0.2, ,32,15.91,34.051,8.426,1.43
80,03/11/2021,Stylophora,November,S8,,8.443076923,32.928,3.9,5.822,3810402,1.91,0.91,0.16,0.39,40,19.29,30.743,16.343,1.72
81,02/12/2021,Stylophora,December,S1,0.624,3.219088937,14.84,4.61,4.443,3046743,1.61,1.46,0.16,0.91,74,15.14, ,10.13,
82,02/12/2021,Stylophora,December,S9,0.633,3.991489362,18.76,4.7,2.789,1772439,1.23,0.81,0.09, , ,13.4,39.659, ,
83,02/12/2021,Stylophora,December,S3,0.609,3.914606742,17.42,4.45,1.961,2826134, ,1.2,0.14,1.18,78,21.66,34.466,13.05,1.72
84,02/12/2021,Stylophora,December,S4,0.633,3.773157895,17.9225,4.75,4.443,3944730,1.91,1.46,0.26,0.75,69,18.05,41.291,29.654,2.47
85,02/12/2021,Stylophora,December,S5,0.58,2.713178295,10.5,3.87,3.892,2318402,1.48,0.77,0.06,0.46, ,20.36,54.01,15.769,2.27
86,02/12/2021,Stylophora,December,S6,0.629,3.453991131,15.5775,4.51,3.064,2219905,2.06,0.87,0.17,0.38,39,19.37, ,35.205,
87,02/12/2021,Stylophora,December,S7,0.638,3.261061947,14.74,4.52,2.789,2103259,1.4,1.23,0.1,0.57,54,17.85,58.596, ,
88,02/12/2021,Stylophora,December,S8,0.634,3.381849315,14.8125,4.38,3.892,2921610,1.54,1.25,0.22,0.72,62,21.69,33.727,3.471,1.32
89,09/01/2022,Stylophora,January,S1,0.608,2.876237624,11.62,4.04,5.822, ,2.06,1.17,0.21,0.59,55,18.33,46.969,30.238,2.64
